assembly_name	ena_accession	fasta_url	fastq_url
ARA03-004			
ARA03-005			
ARA03-006			
ARA03-007			
ARA03-008	GCA_900707305	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707305?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418576/ERR3418576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418576/ERR3418576_2.fastq.gz""]"
ARA03-009			
ARA03-010			
ARA03-011			
ARA03-012			
ARA03-013			
ARA03-014			
ARA03-015			
ARA03-016			
ARA03-017			
AST01-001			
AST01-003			
AST01-005			
AST01-006			
AST01-007	GCA_900707285	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707285?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3417511/ERR3417511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3417511/ERR3417511_2.fastq.gz""]"
AST01-008			
AST01-009			
AST01-010			
AST01-011			
AST01-013			
AST01-014			
AST01-015			
AST01-016			
AST01-018			
AST01-019			
AST01-023			
AST01-024			
AST01-025	GCA_900707315	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707315?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418577/ERR3418577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418577/ERR3418577_2.fastq.gz""]"
AST01-026	GCA_900707295	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707295?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418578/ERR3418578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418578/ERR3418578_2.fastq.gz""]"
AST01-029			
AST01-033			
AST01-034			
AST01-036			
AST01-037			
AST01-038			
AST01-039			
AST01-040			
AST01-042	GCA_900707415	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707415?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418579/ERR3418579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418579/ERR3418579_2.fastq.gz""]"
AST01-044			
AST01-045			
BAL01-001			
